"llx","lly","urx","ury","min_elev_coarse_dem","max_elev_coarse_dem","coarsen","reduce_theta"
113.666666666667,-25.3333333333333,114,-25,-9,38,0,0
114,-25.3333333333333,114.333333333333,-25,6,70,0,0
112.333333333333,-25,112.666666666667,-24.6666666666667,-357,-80,1,0
112.666666666667,-25,113,-24.6666666666667,-115,-61,1,0
113,-25,113.333333333333,-24.6666666666667,-81,46,0,0
113.333333333333,-25,113.666666666667,-24.6666666666667,-47,37,0,0
113.666666666667,-25,114,-24.6666666666667,-9,44,0,0
114,-25,114.333333333333,-24.6666666666667,18,75,0,0
112.333333333333,-24.6666666666667,112.666666666667,-24.3333333333333,-596,-81,1,0
112.666666666667,-24.6666666666667,113,-24.3333333333333,-162,-59,1,0
113,-24.6666666666667,113.333333333333,-24.3333333333333,-82,21,1,0
113.333333333333,-24.6666666666667,113.666666666667,-24.3333333333333,-57,84,0,0
113.666666666667,-24.6666666666667,114,-24.3333333333333,0,39,0,0
114,-24.6666666666667,114.333333333333,-24.3333333333333,9,89,0,0
112.666666666667,-24.3333333333333,113,-24,-354,-61,1,0
113,-24.3333333333333,113.333333333333,-24,-139,84,1,0
113.333333333333,-24.3333333333333,113.666666666667,-24,-59,106,0,0
113.666666666667,-24.3333333333333,114,-24,0,27,0,0
114,-24.3333333333333,114.333333333333,-24,1,102,0,0
113,-24,113.333333333333,-23.6666666666667,-292,-37,1,0
113.333333333333,-24,113.666666666667,-23.6666666666667,-115,106,0,0
113.666666666667,-24,114,-23.6666666666667,-29,64,0,0
114,-24,114.333333333333,-23.6666666666667,2,102,0,0
113.333333333333,-23.6666666666667,113.666666666667,-23.3333333333333,-196,61,0,0
113.666666666667,-23.6666666666667,114,-23.3333333333333,-66,99,0,0
114,-23.6666666666667,114.333333333333,-23.3333333333333,2,99,0,0
113.333333333333,-23.3333333333333,113.666666666667,-23,-497,-4,1,0
113.666666666667,-23.3333333333333,114,-23,-91,191,0,0
114,-23.3333333333333,114.333333333333,-23,4,191,1,0
113.333333333333,-23,113.666666666667,-22.6666666666667,-961,96,1,0
113.666666666667,-23,114,-22.6666666666667,-91,175,0,0
114,-23,114.333333333333,-22.6666666666667,5,191,0,0
114.333333333333,-23,114.666666666667,-22.6666666666667,5,104,0,0
113.333333333333,-22.6666666666667,113.666666666667,-22.3333333333333,-1571,132,1,0
113.666666666667,-22.6666666666667,114,-22.3333333333333,-810,186,0,0
114,-22.6666666666667,114.333333333333,-22.3333333333333,-10,186,0,0
114.333333333333,-22.6666666666667,114.666666666667,-22.3333333333333,-10,74,0,0
114.666666666667,-22.6666666666667,115,-22.3333333333333,5,76,0,0
113.333333333333,-22.3333333333333,113.666666666667,-22,-2002,-79,1,0
113.666666666667,-22.3333333333333,114,-22,-1334,308,1,0
114,-22.3333333333333,114.333333333333,-22,-20,308,0,0
114.333333333333,-22.3333333333333,114.666666666667,-22,-19,21,0,0
114.666666666667,-22.3333333333333,115,-22,0,39,0,0
115,-22.3333333333333,115.333333333333,-22,11,123,0,0
113.666666666667,-22,114,-21.6666666666667,-1391,265,1,0
114,-22,114.333333333333,-21.6666666666667,-433,265,0,1
114.333333333333,-22,114.666666666667,-21.6666666666667,-73,17,0,0
114.666666666667,-22,115,-21.6666666666667,-10,21,0,0
115,-22,115.333333333333,-21.6666666666667,-10,59,0,0
115.333333333333,-22,115.666666666667,-21.6666666666667,0,123,0,0
114,-21.6666666666667,114.333333333333,-21.3333333333333,-689,12,1,0
114.333333333333,-21.6666666666667,114.666666666667,-21.3333333333333,-282,12,1,0
114.666666666667,-21.6666666666667,115,-21.3333333333333,-130,10,0,0
115,-21.6666666666667,115.333333333333,-21.3333333333333,-50,21,0,0
115.333333333333,-21.6666666666667,115.666666666667,-21.3333333333333,-16,90,0,0
115.666666666667,-21.6666666666667,116,-21.3333333333333,-6,153,0,0
116,-21.6666666666667,116.333333333333,-21.3333333333333,12,275,0,0
114.333333333333,-21.3333333333333,114.666666666667,-21,-578,-87,1,0
114.666666666667,-21.3333333333333,115,-21,-365,-4,1,0
115,-21.3333333333333,115.333333333333,-21,-100,2,0,0
115.333333333333,-21.3333333333333,115.666666666667,-21,-16,16,0,0
115.666666666667,-21.3333333333333,116,-21,-14,74,0,0
116,-21.3333333333333,116.333333333333,-21,-7,264,0,0
116.333333333333,-21.3333333333333,116.666666666667,-21,8,357,0,0
116.666666666667,-21.3333333333333,117,-21,23,357,0,0
117,-21.3333333333333,117.333333333333,-21,19,361,0,0
114.666666666667,-21,115,-20.6666666666667,-718,-77,1,0
115,-21,115.333333333333,-20.6666666666667,-107,49,0,0
115.333333333333,-21,115.666666666667,-20.6666666666667,-52,49,0,0
115.666666666667,-21,116,-20.6666666666667,-31,14,0,0
116,-21,116.333333333333,-20.6666666666667,-30,177,0,0
116.333333333333,-21,116.666666666667,-20.6666666666667,-24,239,0,0
116.666666666667,-21,117,-20.6666666666667,-6,189,0,0
117,-21,117.333333333333,-20.6666666666667,-8,193,0,0
117.333333333333,-21,117.666666666667,-20.6666666666667,-9,165,0,0
117.666666666667,-21,118,-20.6666666666667,-6,205,0,0
115,-20.6666666666667,115.333333333333,-20.3333333333333,-186,1,1,0
115.333333333333,-20.6666666666667,115.666666666667,-20.3333333333333,-56,41,0,0
115.666666666667,-20.6666666666667,116,-20.3333333333333,-53,4,0,0
116,-20.6666666666667,116.333333333333,-20.3333333333333,-48,-3,0,0
116.333333333333,-20.6666666666667,116.666666666667,-20.3333333333333,-46,88,0,0
116.666666666667,-20.6666666666667,117,-20.3333333333333,-42,101,0,0
117,-20.6666666666667,117.333333333333,-20.3333333333333,-36,82,0,0
117.333333333333,-20.6666666666667,117.666666666667,-20.3333333333333,-31,115,0,0
117.666666666667,-20.6666666666667,118,-20.3333333333333,-28,115,0,0
115.333333333333,-20.3333333333333,115.666666666667,-20,-149,24,1,0
115.666666666667,-20.3333333333333,116,-20,-78,-39,1,0
116,-20.3333333333333,116.333333333333,-20,-72,-35,1,0
116.333333333333,-20.3333333333333,116.666666666667,-20,-64,-27,0,0
116.666666666667,-20.3333333333333,117,-20,-65,5,0,0
117,-20.3333333333333,117.333333333333,-20,-65,-18,0,0
117.333333333333,-20.3333333333333,117.666666666667,-20,-56,-9,0,0
117.666666666667,-20.3333333333333,118,-20,-49,-2,0,0
115.666666666667,-20,116,-19.6666666666667,-205,-26,1,0
116,-20,116.333333333333,-19.6666666666667,-131,-50,1,0
116.333333333333,-20,116.666666666667,-19.6666666666667,-98,-46,1,0
116.666666666667,-20,117,-19.6666666666667,-82,-38,1,0
117,-20,117.333333333333,-19.6666666666667,-79,-41,1,0
117.333333333333,-20,117.666666666667,-19.6666666666667,-74,-39,1,0
117.666666666667,-20,118,-19.6666666666667,-71,-29,1,0
116,-19.6666666666667,116.333333333333,-19.3333333333333,-278,-61,1,0
116.333333333333,-19.6666666666667,116.666666666667,-19.3333333333333,-183,-46,1,0
116.666666666667,-19.6666666666667,117,-19.3333333333333,-161,-28,1,0
117,-19.6666666666667,117.333333333333,-19.3333333333333,-136,-65,1,0
117.333333333333,-19.6666666666667,117.666666666667,-19.3333333333333,-126,-58,1,0
117.666666666667,-19.6666666666667,118,-19.3333333333333,-92,-44,1,0
116,-19.3333333333333,116.333333333333,-19,-509,-125,1,0
116.333333333333,-19.3333333333333,116.666666666667,-19,-401,-124,1,0
116.666666666667,-19.3333333333333,117,-19,-359,-106,1,0
117,-19.3333333333333,117.333333333333,-19,-302,-96,1,0
117.333333333333,-19.3333333333333,117.666666666667,-19,-254,-79,1,0
117.666666666667,-19.3333333333333,118,-19,-154,-69,1,0
117,-19,117.333333333333,-18.6666666666667,-539,-145,1,0
117.333333333333,-19,117.666666666667,-18.6666666666667,-447,-123,1,0
117.666666666667,-19,118,-18.6666666666667,-310,-93,1,0
