"PSU_ID","manning_n","Type_Name","citation","citation_comment"
4101,NA,"Water",NA,NA
4102,NA,"1a Complex mesophyll to notophyll vine forests usually in fertile and very wet locations",NA,NA
4103,NA,"1b Complex mesophyll to notophyll vine forests usually on basalt tablelands",NA,NA
4104,NA,"2a Complex evergreen notophyll vine forests frequently with Araucaria cunninghamii from foothills to ranges. (Tracey 1982 5a, 5b)",NA,NA
4105,NA,"2b Semi-deciduous mesophyll to notophyll vine forests usually on granitic ranges",NA,NA
4106,NA,"2c Semi-deciduous notophyll vine forests to simple evergreen notophyll vine forests, frequently with Welchiodendron longivalve on northern Cape York Peninsula",NA,NA
4107,NA,"2d Semi-deciduous notophyll/mesophyll vine forests on coastal ranges. (Tracey 1982 4, 5b on basalt, metamorphics and granite)",NA,NA
4108,NA,"3a Evergreen to semi-deciduous, notophyll to microphyll vine forests/ thickets on beach ridges and coastal dunes, occasionally Araucaria cunninghamii (hoop pine) microphyll vine forests on dunes. Pisonia grandis on coral cays",NA,NA
4109,NA,"4a Notophyll and mesophyll vine forests with feather or fan palms in alluvia and in swampy situations on ranges or within coastal sand masses",NA,NA
4110,NA,"4b Evergreen to semi-deciduous mesophyll to notophyll vine forests, frequently with Archontophoenix spp., fringing streams",NA,NA
4111,NA,"5a Araucarian notophyll/microphyll and microphyll vine forests of southern coastal bioregions",NA,NA
4112,NA,"5b Notophyll to microphyll vine forests, frequently with Araucaria cunninghamii (hoop pine), on ranges of central coastal bioregions",NA,NA
4113,NA,"5c Simple to complex notophyll vine forests, often with Agathis spp. on ranges and uplands of the Wet Tropics bioregion",NA,NA
4114,NA,"5d Acacia celsa / A. mangium (brown sandalwood) / A. polystachya closed forests to open forests with mixed rainforest species understorey includes areas regenerating after disturbance",NA,NA
4115,NA,"6a Notophyll vine forests and microphyll fern forests to thickets on high peaks and plateaus of southern Queensland",NA,NA
4116,NA,"6b Simple evergreen notophyll vine forests to simple microphyll vine fern thickets on high peaks and plateaus of northern Queensland",NA,NA
4117,NA,"7a Semi-evergreen vine thickets on wide range of substrates",NA,NA
4118,NA,"7b Deciduous microphyll vine thickets on ranges and heavy clay alluvia in northern bioregions",NA,NA
4119,NA,"8a Wet tall open forests dominated by species such as Eucalyptus grandis (flooded gum) or E. saligna, E. resinifera (red mahogany), Lophostemon confertus (brush box), Syncarpia spp. (turpentine), E. laevopinea (silvertop stringybark)",NA,NA
4120,NA,"8b Moist open forests to tall open forests mostly dominated by Eucalyptus pilularis (blackbutt) on coastal sands, sub-coastal sandstones and basalt ranges. Also includes tall open forests dominated by E. montivaga, E. obliqua (messmate stringybark), and E. campanulata (New England ash)",NA,NA
4121,NA,"9a Moist eucalypt open forests to woodlands dominated by a variety of species including Eucalyptus siderophloia (red ironbark), E. propinqua (small-fruited grey gum), E. acmenoides (narrow-leaved white stringybark), E. microcorys (tallowwood), E. carnea (broad-leaved white mahogany), E. tindaliae (Queensland white stringybark), Corymbia intermedia (pink bloodwood), Lophostemon confertus (brush box)",NA,NA
4122,NA,"9b Moist to dry woodlands dominated by Eucalyptus platyphylla (poplar gum) and/or E. leptophleba (Molloy red box). Other frequent tree species include Corymbia clarksoniana (grey bloodwood), E. drepanophylla (grey ironbark) and occasionally E. chlorophylla",NA,NA
4123,0.0870,"9c Open forests of Corymbia clarksoniana (grey bloodwood) (or C. intermedia (pink bloodwood) or C. novoguinensis), C. tessellaris (carbeen) � Eucalyptus tereticornis (blue gum) predominantly on coastal ranges. Other frequent tree species include Eucalyptus drepanophylla (grey ironbark), E. pellita (large-fruited red mahogany), E. brassiana (Cape York red gum) and Lophostemon suaveolens (swamp box)",kaiser_2011_influence, "outer beach forest"
4124,NA,"9d Moist to dry open forests to woodlands dominated by Eucalyptus portuensis, Corymbia intermedia (pink bloodwood), E. drepanophylla, E. resinifera or E. reducta +/-Syncarpia glomulifera (turpentine) or E. cloeziana (Gympie messmate) on ranges. Also includes mixed forests with E. pellita or C. torelliana (cadaghi) emergents and rainforest understories",NA,NA
4125,NA,"9e Open forests, woodlands and open woodlands dominated by Corymbia clarksoniana (grey bloodwood) (or C. novoguinensis or C. intermedia (pink bloodwood) or C. polycarpa (long-fruited bloodwood)) frequently with Erythrophleum chlorostachys (red ironwood) or Eucalyptus platyphylla (poplar gum) predominantly on coastal sandplains and alluvia",NA,NA
4126,NA,"9f Woodlands dominated by Corymbia spp. e.g. C. intermedia (pink bloodwood), C. tessellaris (Moreton Bay ash) and/or Eucalyptus spp. such as E. tereticornis (blue gum), frequently with Banksia spp., Acacia spp. and Callitris columellaris (Bribie Island pine) on coastal dunes and beach ridges",NA,NA
4127,NA,"9g Moist to dry woodlands to open forests dominated by stringybarks or mahoganies such as Eucalyptus tindaliae (Queensland white stringybark), E. latisinensis (white mahogany), E. acmenoides (narrow-leaved white stringybark); or E. racemosa (scribbly gum) or E. seeana or E. tereticornis (blue gum) and Corymbia intermedia (pink bloodwood)",NA,NA
4128,NA,"9h Dry woodlands dominated by species such as Eucalyptus acmenoides (narrow-leaved white stringybark) (or E. portuensis or E. helidonica), E. tereticornis (blue gum), Angophora leiocarpa (rusty gum), Corymbia trachyphloia (yellow bloodwood) or C. intermedia (pink bloodwood), and often ironbarks including E. crebra (narrow-leaved red ironbark) or E. fibrosa (dusky-leaved ironbark). A heathy shrub layer is frequently present. On undulating to hilly terrain",NA,NA
4129,NA,"10a Dry woodlands to open woodlands dominated by Corymbia citriodora (spotted gum)",NA,NA
4130,0.0850,"10b Moist open forests to woodlands dominated by Corymbia citriodora (spotted gum)",kaiser_2011_influence,"TODO: other forest/rainforest"
4131,NA,"11a Moist to dry open forests to woodlands dominated by Eucalyptus orgadophila (mountain coolibah). Some areas dominated by E. tereticornis (blue gum), E. melliodora (yellow box), E. albens (white box), E. crebra (narrow-leaved red ironbark) or E. melanophloia (silver-leaved ironbark)",NA,NA
4132,NA,"11b Moist to dry open forests to woodlands dominated by Eucalyptus crebra (narrow-leaved red ironbark) or E. tereticornis (blue gum), frequently with Corymbia species or E. microneura (Gilbert River box) on red ferrosols on undulating terrain",NA,NA
4133,NA,"11c Moist woodlands dominated by Eucalyptus leptophleba (Molloy red box) � Corymbia papuana (ghost gum) � C. tessellaris (carbeen)",NA,NA
4134,NA,"12a Dry woodlands to open woodlands dominated by ironbarks such as Eucalyptus decorticans (gum-topped ironbark), E. fibrosa subsp. nubila (blue-leaved ironbark), or E. crebra (narrow-leaved red ironbark) and/or bloodwoods such as Corymbia trachyphloia (yellow bloodwood), C. leichhardtii (rustyjacket), C. watsoniana (Watson's yellow bloodwood), C. lamprophylla, C. peltata (yellowjacket). Occasionally E. thozetiana (mountain yapunyah), E. cloeziana (Gympie messmate) or E. mediocris are dominant. Mostly on sub-coastal/inland hills with shallow soils",NA,NA
4135,NA,"12b Woodlands and open woodlands dominated by Eucalyptus crebra (narrow-leaved red ironbark) and/or Corymbia spp. such as C. clarksoniana (grey bloodwood), C. stockeri, C. setosa (rough leaved bloodwood) or C. peltata (yellowjacket) on hilly terrain",NA,NA
4136,NA,"13a Woodlands and open woodlands dominated by ironbarks such as Eucalyptus cullenii (Cullen's ironbark), E. staigeriana (lemon-scented ironbark) or E. melanophloia (silver-leaved ironbark) and bloodwoods such as Corymbia stockeri subsp. peninsularis, C. clarksoniana (grey bloodwood) or C. leichhardtii (rustyjacket)",NA,NA
4137,NA,"13b Woodlands to open woodlands dominated by Eucalyptus microneura (Gilbert River box) on shallow soils on rolling hills",NA,NA
4138,NA,"13c Woodlands of Eucalyptus crebra (narrow-leaved red ironbark), E. drepanophylla (grey ironbark), E. fibrosa (dusky-leaved ironbark), E. shirleyi (Shirley's silver-leaved ironbark) on granitic and metamorphic ranges",NA,NA
4139,NA,"13d Woodlands dominated by Eucalyptus moluccana (gum-topped box) (or E. microcarpa (inland grey box)) on a range of substrates",NA,NA
4140,NA,"14a Woodlands and tall woodlands dominated by Eucalyptus tetrodonta (Darwin stringybark) (or E. megasepala), with Corymbia nesophila (Melville Island bloodwood). Occasionally E. chartaboma (or E. miniata (Darwin woollybutt)), on deeply weathered plateaus and remnants",NA,NA
4141,NA,"14b Woodlands dominated by Eucalyptus tetrodonta (Darwin stringybark) (or E. megasepala) or E. chartaboma or E. miniata (Darwin woollybutt), with Corymbia clarksoniana (grey bloodwood) on erosional surfaces, residual sands and occasionally alluvial plains",NA,NA
4142,NA,"14c Open forests and woodlands dominated by Corymbia nesophila (Melville Island bloodwood) usually with Eucalyptus tetrodonta (Darwin stringybark) or E. phoenicea (scarlet gum)",NA,NA
4143,NA,"14d Woodlands dominated by Corymbia stockeri (or C. hylandii) and Eucalyptus megasepala (or E. tetrodonta (Darwin stringybark)) on sandstone, metamorphic and ironstone ranges",NA,NA
4144,NA,"15a Woodlands and open forests dominated by Eucalyptus youmanii (Youman's stringybark), E. scoparia (Wallangarra white gum), E. caliginosa (broad-leaved stringybark) or E. melliodora (yellow box) occurring on traprock",NA,NA
4145,NA,"15b Woodlands dominated by Eucalyptus conica (fuzzy box) or E. nova-anglica (New England peppermint) or E. blakelyi (Blakely's red gum) on alluvial plains",NA,NA
4146,NA,"16a Open forests and woodlands dominated by Eucalyptus camaldulensis (river red gum) (or E. tereticornis (blue gum)) and/or E. coolabah (coolibah) (or E. microtheca (coolabah)) fringing drainage lines. Associated species may include Melaleuca spp., Corymbia tessellaris (carbeen), Angophora spp., Casuarina cunninghamiana (river she-oak). Does not include alluvial areas dominated by herblands or grasslands or alluvial plains that are not flooded",NA,NA
4147,NA,"16b Woodlands dominated by Eucalyptus leptophleba (Molloy red box), and associated Corymbia tessellaris (carbeen) or C. clarksoniana (grey bloodwood) or C. dallachiana; or dominated by Corymbia terminalis (desert bloodwood) or other Corymbia spp. in the Gulf Plains and Northwest Highlands bioregions. On sandy levees",NA,NA
4148,NA,"16c Woodlands and open woodlands dominated by Eucalyptus coolabah (coolibah) or E. microtheca (coolibah) or E. largiflorens (black box) or E. tereticornis (blue gum) or E. chlorophylla on floodplains. Does not include alluvial areas dominated by herblands or grasslands or alluvial plains that are not flooded",NA,NA
4149,NA,"16d River beds, open water or sand, or rock, frequently not vegetated",NA,NA
4150,NA,"17a Woodlands dominated by Eucalyptus populnea (poplar box) (or E. brownii (Reid River box)) on alluvium, sand plains and footslopes of hills and ranges",NA,NA
4151,NA,"17b Woodlands to open woodlands dominated by Eucalyptus melanophloia (silver-leaved ironbark) (or E. shirleyi (Shirley's silver-leaved ironbark)) on sand plains and footslopes of hills and ranges",NA,NA
4152,NA,"17c Eucalyptus whitei (White's ironbark) or E. similis (Queensland yellowjacket) woodlands to open woodlands on sand sheets",NA,NA
4153,NA,"18a Dry woodlands to open woodlands, dominated by bloodwoods (Corymbia dallachiana, C. terminalis (western bloodwood), C. plena, or C. leichhardtii (rustyjacket)) or ironbarks (Eucalyptus quadricostata (Pentland ironbark), E. crebra (narrow-leaved red ironbark) or E. exilipes (fine-leaved ironbark)), often with E. acmenoides (narrow-leaved white stringybark), Angophora leiocarpa (rusty gum) and Callitris glaucophylla (white cypress pine) in the Brigalow Belt, on sandy plateaus and plains",NA,NA
4154,NA,"18b Woodlands dominated Eucalyptus crebra (narrow-leaved red ironbark) frequently with Corymbia spp. or Callitris spp. on flat to undulating plains",NA,NA
4155,NA,"18c Woodlands and open woodlands dominated by Eucalyptus chlorophylla (or E. leptophleba (Molloy red box) on heavy soils) frequently with Corymbia spp.; or dominated by E. tectifica west of Burketown",NA,NA
4156,NA,"18d Woodlands to low open woodlands dominated by Eucalyptus microneura (Gilbert River box/Georgetown box) sometimes with Corymbia spp.",NA,NA
